Element,Symbol,Atomic Mass,Valences,,,,
Hydrogen,H,1,1,,,,
Helium,He,4,0,,,,
Lithium,Li,6.9,1,,,,
Beryllium,Be,9,2,,,,
Boron,B,10.8,3,,,,
Carbon,C,12,4,,,,
Nitrogen,N,14,3,5,,,
Oxygen,O,16,2,,,,
Fluorine,F,17,1,,,,
Neon,Ne,20.2,0,,,,
Sodium,Na,23,1,,,,
Magnesium,Mg,24.3,2,,,,
Aluminium,Al,27,3,,,,
Silicon,Si,28.1,4,,,,
Phosphorus,P,31,3,5,,,
Sulfur,S,32.1,2,4,6,,
Chlorine,Cl,35.5,1,3,5,7,
Argon,Ar,39.9,0,,,,
Potassium,K,39.1,1,,,,
Calcium,Ca,40.1,2,,,,
Scandium,Sc,45,3,,,,
Titanium,Ti,47.9,4,,,,
Vanadium,V,50.9,5,4,3,,
Chromium,Cr,52,6,3,2,,
Manganese,Mn,54.9,2,4,7,,
Iron,Fe,55.8,2,3,,,
Cobalt,Co,58.9,2,3,,,
Nickel,Ni,58.7,2,3,,,
Copper,Cu,63.5,2,1,,,
Zinc,Zn,65.4,2,,,,
Gallium,Ga,69.7,3,,,,
Germanium,Ge,72.6,4,,,,
Arsenic,As,74.9,3,5,,,
Selenium,Se,79,2,4,6,,
Bromine,Br,79.9,1,3,5,7,
Krypton,Kr,83.8,0,,,,
Rubidium,Rb,85.5,1,,,,
Strontium,Sr,87.6,2,,,,
Yttrium,Y,88.9,3,,,,
Zirconium,Zr,91.2,4,,,,
Niobium,Nb,92.9,5,,,,
Molybdenum,Mo,96,6,,,,
Technetium,Tc,98,7,,,,
Ruthenium,Ru,101.1,3,4,8,,
Rhodium,Rh,102.9,3,,,,
Palladium,Pd,106.4,2,4,,,
Silver,Ag,107.9,1,,,,
Cadmium,Cd,112.4,2,,,,
Indium,In,114.8,3,,,,
Tin,Sn,118.7,4,2,,,
Antimony,Sb,121.8,3,5,,,
Tellurium,Te,127.6,2,4,6,,
Iodine,I,126.9,1,3,5,7,
Xenon,Xe,131.3,0,2,4,6,8
Caesium,Cs,132.9,,,,,
Barium,Ba,137.3,,,,,
Lanthanum,La,138.9,,,,,
Cerium,Ce,140.1,,,,,
Praseodymium,Pr,140.9,,,,,
Neodymium,Nd,144.2,,,,,
Promethium,Pm,145,,,,,
Samarium,Sm,150.4,,,,,
Europium,Eu,152,,,,,
Gadolinium,Gd,157.2,,,,,
Terbium,Tb,158.9,,,,,
Dysprosium,Dy,162.5,,,,,
Holmium,Ho,164.9,,,,,
Erbium,Er,167.3,,,,,
Thulium,Tm,168.9,,,,,
Ytterbium,Yb,173,,,,,
Lutetium,Lu,175,,,,,
Hafnium,Hf,178.5,,,,,
Tantalum,Ta,180.9,,,,,
Wolfram,W,183.8,,,,,
Rhenium,Re,186.2,,,,,
Osmium,Os,190.2,,,,,
Iridium,Ir,192.2,,,,,
Platinum,Pt,195.1,,,,,
Gold,Au,197,,,,,
Mercury,Hg,200.6,,,,,
Thallium,Tl,204.4,,,,,
Lead,Pb,207.2,,,,,
Bismuth,Bi,209,,,,,
Polonium,Po,209,,,,,
Astatine,At,210,,,,,
Radon,Rn,222,,,,,
Francium,Fr,223,,,,,
Radium,Ra,226,,,,,
Actinium,Ac,227,,,,,
Thorium,Th,232,,,,,
Protactinium,Pa,231,,,,,
Uranium,U,238,,,,,
Neptunium,Np,237,,,,,
Plutonium,Pu,244,,,,,
Americium,Am,243,,,,,
Curium,Cm,247,,,,,
Berkelium,Bk,247,,,,,
Californium,Cf,251,,,,,
Einsteinium,Es,252,,,,,
Fermium,Fm,257,,,,,
Mendelevium,Md,258,,,,,
Nobelium,No,259,,,,,
Lawrencium,Lr,262,,,,,
Rutherfordium,Rf,267,,,,,
Dubnium,Db,270,,,,,
Seaborgium,Sg,269,,,,,
Bohrium,Bh,270,,,,,
Hassium,Hs,277,,,,,
Meitnerium,Mt,278,,,,,
Darmstadtium,Ds,281,,,,,
Roentgenium,Rg,280,,,,,
Copernicium,Cn,285,,,,,
Nihonium,Nh,284,,,,,
Flerovium,Fl,289,,,,,
Moscovium,Mc,288,,,,,
Livermorium,Lv,293,,,,,
Tennessine,Ts,294,,,,,
Oganesson,Og,294,,,,,
